,Unnamed: 0,PlayerId,PlayerName,Full name,Team,Batting style,Bowling style,Fielding position,Current age,Height,Playing role,Born,Also known as,Died,Education,Major teams,Nickname,Other,Relation,In a nutshell,TotalRuns,MatchesPlayed
0,0,0,Izatullah Dawlatzai,Izatullah Dawlatzai,Afghanistan,Right-hand bat,Right-arm Fast,,26 years 274 days,,Bowler,"May 10, 1991, Nangarhar ",Izatullah Khan,,,"['Afghanistan', 'Afghanistan Under-19s']",,,,,0.0,4
1,1,1,Shoaib Malik,Shoaib Malik,Pakistan,Right-hand bat,Right-arm Offspin,,36 years 7 days,,Middle-order batsman,"February 1, 1982, Sialkot, Punjab ",,,,"['Pakistan', 'Asia XI', 'Barbados Tridents', 'Delhi Daredevils', 'Gloucestershire', 'Gujranwala Cricket Association', 'Hobart Hurricanes', 'Karachi Kings', 'Pakistan International Airlines', 'Pakistan Reserves', 'Sialkot Cricket Association', 'Sialkot Stallions']",,,Brother - Adeel Malik,,1601.0,79
2,2,2,Mohammad Yousuf,Mohammad Yousuf,Pakistan,Right-hand bat,Right-arm Offspin,,43 years 165 days,,,"August 27, 1974, Lahore, Punjab ",,,,"['Pakistan', 'Asia XI', 'Bahawalpur', 'Lahore', 'Lahore Badshahs', 'Lancashire', 'Pakistan International Airlines', 'Warwickshire', 'Water and Power Development Authority', 'Zarai Taraqiati Bank Limited']",,,Nephew - Mohammad Bilal,,50.0,3
3,3,3,RR Watson,Ryan Robert Watson,Scotland,Right-hand bat,Right-arm Medium,Occasional wicketkeeper,41 years 88 days,,,"November 12, 1976, Salisbury (now Harare), Rhodesia ",,,,Scotland,,,,,55.0,5
4,4,4,PDRL Perera,Panagodage Don Ruchira Laksiri Perera,Sri Lanka,Left-hand bat,Left-arm Fast,,40 years 308 days,5 ft 10 in ,Bowler,"April 6, 1977, Colombo ",,,"Ananda Sastralaya, Kotte","['Sri Lanka', 'Basnahira South', 'Bloomfield Cricket and Athletic Club', 'Colts Cricket Club', 'Sinhalese Sports Club']",,,,,0.0,2
5,5,5,Sompal Kami,Sompal Kami,Nepal,Right-hand bat,Right-arm Fast,,22 years 6 days,,Bowler,"February 2, 1996, Gulmi ",,,,"['Nepal', 'Nepal Under-19s']",,,,,77.0,9
6,6,6,AR Cusack,Alex Richard Cusack,Ireland,Right-hand bat,Right-arm Fast,,37 years 102 days,,Bowler,"October 29, 1980, Brisbane, Australia ",,,,"['Ireland', 'Ireland A']",,,,,224.0,29
7,7,7,S Tyagi,Sudeep Tyagi,India,Right-hand bat,Right-arm Medium,,30 years 144 days,,Bowler,"September 17, 1987, Ghaziabad, Uttar Pradesh ",,,,"['India', 'Chennai Super Kings', 'India A', 'Sunrisers Hyderabad', 'Uttar Pradesh']",,,,,0.0,1
8,8,8,Qadeer Ahmed,Qadeer Ahmed Khan,United Arab Emirates,Right-hand bat,Right-arm Fast,,32 years 85 days,,Bowler,"November 15, 1985, Attock, Pakistan ",,,,United Arab Emirates,,,,,7.0,8
9,9,9,A Mehmood,Adil Mehmood,Hong Kong,Right-hand bat,Right-arm Medium,,29 years 39 days,,Bowler,"December 31, 1988, Attock, Punjab, Pakistan ",,,,Hong Kong,,,,,0.0,1
10,10,10,Umar Akmal,Umar Akmal,Pakistan,Right-hand bat,Not Specified,Wicketkeeper,27 years 258 days,,Middle-order batsman,"May 26, 1990, Lahore, Punjab ",,,,"['Pakistan', 'Barbados Tridents', 'Guyana Amazon Warriors', 'Lahore Lions', 'Lahore Qalandars', 'Pakistan Under-19s', 'Sui Northern Gas Pipelines Limited', 'Trinbago Knight Riders']",,,"['Brother - Kamran Akmal', 'Brother - Adnan Akmal', 'Cousin - Babar Azam']",,1690.0,77
11,11,11,P Awana,Parvinder Awana,India,Right-hand bat,Right-arm Medium,,31 years 204 days,,Bowler,"July 19, 1986, Delhi, India ",,,,"['India', 'Delhi', 'Kings XI Punjab']",,,,,0.0,2
12,12,12,MDKJ Perera,Mathurage Don Kusal Janith Perera,Sri Lanka,Left-hand bat,Not Specified,Wicketkeeper,27 years 175 days,5 ft 6 in ,Wicketkeeper batsman,"August 17, 1990, Kalubowila ",,,"Royal College, Colombo","['Sri Lanka', 'Colts Cricket Club', 'Rajasthan Royals', 'Ruhuna', 'Schools Invitation XI', 'Southern Express', 'Sri Lanka A', 'Sri Lanka Under-19s']",,,,,716.0,27
13,13,13,J Theron,Juan Theron,South Africa,Right-hand bat,Right-arm Fast,,32 years 199 days,,Bowler,"July 24, 1985, Potchefstroom ",,,,"['South Africa', 'Deccan Chargers', 'Eastern Province', 'Jamaica Tallawahs', 'Kings XI Punjab', 'Rajasthan Royals', 'South Africa A', 'Warriors']",,,,,32.0,9
14,14,14,HA Varaiya,Hiren Ashok Varaiya,Kenya,Right-hand bat,Left-arm Orthodox,,33 years 305 days,,Bowler,"April 9, 1984, Mumbai, India ",,,,"['Kenya', 'Africa XI', 'Kenya Select XI', 'Kenya XI', 'Rift Valley Rhinos', 'Southern Stars']",Viru,,,,41.0,16
15,15,15,KM Jarvis,Kyle Malcolm Jarvis,Zimbabwe,Right-hand bat,Right-arm Fast,,28 years 357 days,,Bowler,"February 16, 1989, Harare ",,,,"['Zimbabwe', 'Central Districts', 'Lancashire', 'Lancashire 2nd XI', 'Mashonaland Eagles', 'Zimbabwe Under-19s', 'Zimbabwe XI']",,,Father - MP Jarvis,,9.0,9
16,16,16,Haseeb Amjad,Haseeb Amjad,Hong Kong,Right-hand bat,Right-arm Fast,,30 years 89 days,,Bowler,"November 11, 1987, Rawalpindi ",,,,"['Hong Kong', 'Hong Kong Cricket Sixes', 'Pakistan Under-19s']",,,,,45.0,17
17,17,17,BAW Mendis,Balapuwaduge Ajantha Winslow Mendis,Sri Lanka,Right-hand bat,Right-arm Offspin,,32 years 334 days,,Bowler,"March 11, 1985, Moratuwa ",,,,"['Sri Lanka', 'Combined Provinces', 'Dhaka Gladiators', 'Hampshire', 'Kandurata Maroons', 'Kolkata Knight Riders', 'Lahore Qalandars', 'Mohammedan Sporting Club', 'Pune Warriors', 'Sri Lanka Army', ""Sri Lanka Board President's XI"", 'Wayamba']",,,,,8.0,37
18,18,18,A Balbirnie,Andrew Balbirnie,Ireland,Right-hand bat,Right-arm Offspin,Wicketkeeper,27 years 42 days,,Opening batsman,"December 28, 1990, Dublin, Ireland ",,,"St Andrew's College, Dublin","['Ireland', 'Cardiff MCCU', 'Ireland Under-13s', 'Ireland Under-15s', 'Ireland Under-17s', 'Ireland Under-19s', 'Middlesex', 'Middlesex 2nd XI']",,,,,84.0,7
19,19,19,Waqas Barkat,Waqas Barkat,Hong Kong,Right-hand bat,Legbreak,Wicketkeeper,27 years 356 days,,Wicketkeeper batsman,"February 17, 1990, Rawalpindi, Punjab, Pakistan ",,,,"['Hong Kong', 'Hong Kong Under-19s']",,,,,83.0,8
20,20,20,GJ McCarter,Graeme John McCarter,Ireland,Right-hand bat,Right-arm Medium,,25 years 121 days,,Bowler,"October 10, 1992, Londonderry, Northern Ireland ",,,,"['Ireland', 'Gloucestershire', 'Gloucestershire 2nd XI', 'Ireland Under-13s', 'Ireland Under-15s', 'Ireland Under-19s']",,,,,0.0,1
21,21,21,Nasir Hossain,Mohammad Nasir Hossain,Bangladesh,Right-hand bat,Right-arm Offspin,,26 years 70 days,,Allrounder,"November 30, 1991 ",,,,"['Bangladesh', 'Bangladesh A', 'Bangladesh Cricket Board Academy', 'Bangladesh Under-19s', 'Barisal Division', 'North Zone (Bangladesh)', 'Rajshahi Division', 'Rangpur Division', 'Rangpur Riders', 'Sylhet Sixers']",,,,,308.0,24
22,22,22,HH Pandya,Hardik Himanshu Pandya,India,Right-hand bat,Right-arm Fast,,24 years 120 days,,Allrounder,"October 11, 1993, Choryasi, Gujarat ",,,,"['India', 'Baroda', 'India A', 'Mumbai Indians']",,,Brother - KH Pandya,,100.0,19
23,23,23,Fareed Ahmad,Fareed Ahmad Malik,Afghanistan,Left-hand bat,Left-arm Fast,,23 years 182 days,,Bowler,"August 10, 1994, Nangarahar ",Farid Malik,,,"['Afghanistan', 'Afghanistan Under-19s', 'Amo Region', 'Speen Ghar Region']",,,,,0.0,7
24,24,24,MA Parker,John Berry Hobbs,Scotland,Right-hand bat,Right-arm Medium,,,,,"December 16, 1882, Cambridge ",,"December 21, 1963, Hove, Sussex (aged 81 years 5 days) ",,"['England', ""Maharaj Kumar of Vizianagram's XI"", 'Surrey']",,,,"Jack Hobbs is one of the game's early masters. Nobody has scored more first-class runs than his 61,760, or more hundreds than his 199.   More ",0.0,1
25,25,25,Asad Shafiq,Asad Shafiq,Pakistan,Right-hand bat,Right-arm Offspin,,32 years 11 days,,Middle-order batsman,"January 28, 1986, Karachi, Sind ",,,,"['Pakistan', 'Karachi Blues', 'Karachi Dolphins', 'Karachi Whites', 'Karachi Whites', 'Karachi Zebras', 'North West Frontier Province', 'North West Frontier Province Panthers', 'Pakistan A', 'Pakistan Cricket Academy', 'Quetta Gladiators', 'Sind', 'Sind Dolphins']",,,,,192.0,10
