,MatchId,InningsId,Players,Team,TeamWon
0,0,0,M Klinger,Australia,False
1,0,0,AJ Finch,Australia,False
2,0,0,MC Henriques,Australia,False
3,0,0,TM Head,Australia,False
4,0,0,AJ Turner,Australia,False
5,0,0,TD Paine,Australia,False
6,0,0,PJ Cummins,Australia,False
7,0,0,B Stanlake,Australia,False
8,0,0,JP Faulkner,Australia,False
9,0,0,AJ Tye,Australia,False
10,0,0,A Zampa,Australia,False
11,0,1,WU Tharanga,Sri Lanka,True
12,0,1,N Dickwella,Sri Lanka,True
13,0,1,EMDY Munaweera,Sri Lanka,True
14,0,1,DAS Gunaratne,Sri Lanka,True
15,0,1,TAM Siriwardana,Sri Lanka,True
16,0,1,SL Malinga,Sri Lanka,True
17,0,1,KMDN Kulasekara,Sri Lanka,True
18,0,1,JRMVB Sanjaya,Sri Lanka,True
19,0,1,S Prasanna,Sri Lanka,True
20,0,1,PADLR Sandakan,Sri Lanka,True
21,0,1,DAS Gunaratne,Sri Lanka,True
22,1,2,AJ Finch,Australia,False
23,1,2,BR Dunk,Australia,False
24,1,2,M Klinger,Australia,False
25,1,2,TM Head,Australia,False
26,1,2,AJ Turner,Australia,False
27,1,2,JP Faulkner,Australia,False
28,1,2,TD Paine,Australia,False
29,1,2,PJ Cummins,Australia,False
30,1,2,AJ Tye,Australia,False
31,1,2,JA Richardson,Australia,False
32,1,2,MC Henriques,Australia,False
33,1,3,WU Tharanga,Sri Lanka,True
34,1,3,N Dickwella,Sri Lanka,True
35,1,3,BKG Mendis,Sri Lanka,True
36,1,3,EMDY Munaweera,Sri Lanka,True
37,1,3,TAM Siriwardana,Sri Lanka,True
38,1,3,CK Kapugedera,Sri Lanka,True
39,1,3,S Prasanna,Sri Lanka,True
40,1,3,KMDN Kulasekara,Sri Lanka,True
41,1,3,SL Malinga,Sri Lanka,True
42,1,3,KMDN Kulasekara,Sri Lanka,True
43,1,3,JRMVB Sanjaya,Sri Lanka,True
44,1,3,EMDY Munaweera,Sri Lanka,True
45,1,3,DAS Gunaratne,Sri Lanka,True
46,1,3,S Prasanna,Sri Lanka,True
47,2,4,AJ Finch,Australia,True
48,2,4,BR Dunk,Australia,True
49,2,4,TM Head,Australia,True
50,2,4,M Klinger,Australia,True
51,2,4,AJ Turner,Australia,True
52,2,4,JP Faulkner,Australia,True
53,2,4,JA Richardson,Australia,True
54,2,4,PJ Cummins,Australia,True
55,2,4,MC Henriques,Australia,True
56,2,4,A Zampa,Australia,True
57,2,5,WU Tharanga,Sri Lanka,False
58,2,5,BKG Mendis,Sri Lanka,False
59,2,5,EMDY Munaweera,Sri Lanka,False
60,2,5,DAS Gunaratne,Sri Lanka,False
61,2,5,CK Kapugedera,Sri Lanka,False
62,2,5,MD Shanaka,Sri Lanka,False
63,2,5,S Prasanna,Sri Lanka,False
64,2,5,TAM Siriwardana,Sri Lanka,False
65,2,5,SL Malinga,Sri Lanka,False
66,2,5,JRMVB Sanjaya,Sri Lanka,False
67,2,5,SL Malinga,Sri Lanka,False
68,2,5,KMDN Kulasekara,Sri Lanka,False
69,2,5,JRMVB Sanjaya,Sri Lanka,False
70,2,5,S Prasanna,Sri Lanka,False
71,2,5,TAM Siriwardana,Sri Lanka,False
72,2,5,DAS Gunaratne,Sri Lanka,False
73,2,5,MD Shanaka,Sri Lanka,False
74,3,6,Aizaz Khan,Hong Kong,True
75,3,6,Nizakat Khan,Hong Kong,True
76,3,6,Anshuman Rath,Hong Kong,True
77,3,6,Babar Hayat,Hong Kong,True
78,3,6,Tanwir Afzal,Hong Kong,True
79,3,6,Nadeem Ahmed,Hong Kong,True
80,3,6,Ehsan Nawaz,Hong Kong,True
81,3,6,Ehsan Khan,Hong Kong,True
82,3,6,Tanveer Ahmed,Hong Kong,True
83,3,7,WTS Porterfield,Ireland,False
84,3,7,SP Terry,Ireland,False
85,3,7,DA Rankin,Ireland,False
86,3,7,JNK Shannon,Ireland,False
87,3,7,KJ O'Brien,Ireland,False
88,3,7,AR McBrine,Ireland,False
89,3,7,GJ Thompson,Ireland,False
90,3,7,L Tucker,Ireland,False
91,3,7,J Mulder,Ireland,False
92,3,7,J Little,Ireland,False
93,3,7,J Little,Ireland,False
94,3,7,CA Young,Ireland,False
95,3,7,KJ O'Brien,Ireland,False
96,3,7,AR McBrine,Ireland,False
97,3,7,J Mulder,Ireland,False
98,4,8,H Masakadza,Zimbabwe,True
99,4,8,R Mutumbami,Zimbabwe,True
100,4,8,CJ Chibhabha,Zimbabwe,True
