,File,Team1,Team2,Venue,City,Dates,TossWinner,TossDecision,MatchType,Winner,ByWickets,ByRuns,Overs,PlayerOfTheMatch,Umpires,Gender,BattingFirst,BattingSecond,MatchId,Target
0,T20/1001349.yaml,Australia,Sri Lanka,Melbourne Cricket Ground,,2017-02-17,Sri Lanka,field,T20,Sri Lanka,5,0,20,DAS Gunaratne,"['MD Martell', 'P Wilson']",male,Australia,Sri Lanka,0,168
1,T20/1001351.yaml,Australia,Sri Lanka,"Simonds Stadium, South Geelong",Victoria,2017-02-19,Sri Lanka,field,T20,Sri Lanka,2,0,20,DAS Gunaratne,"['SD Fry', 'SJ Nogajski']",male,Australia,Sri Lanka,1,173
2,T20/1001353.yaml,Australia,Sri Lanka,Adelaide Oval,,2017-02-22,Sri Lanka,field,T20,Australia,0,41,20,A Zampa,"['MD Martell', 'P Wilson']",male,Australia,Sri Lanka,2,187
3,T20/1004729.yaml,Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Londonderry,2016-09-05,Hong Kong,bat,T20,Hong Kong,0,40,20,,"['R Black', 'AJ Neill']",male,Hong Kong,Ireland,3,169
4,T20/1007655.yaml,Zimbabwe,India,Harare Sports Club,,2016-06-18,India,field,T20,Zimbabwe,0,2,20,E Chigumbura,"['TJ Matibiri', 'RB Tiffin']",male,Zimbabwe,India,4,170
5,T20/1007657.yaml,Zimbabwe,India,Harare Sports Club,,2016-06-20,Zimbabwe,bat,T20,India,10,0,20,BB Sran,"['L Rusere', 'RB Tiffin']",male,Zimbabwe,India,5,99
6,T20/1007659.yaml,Zimbabwe,India,Harare Sports Club,,2016-06-22,Zimbabwe,field,T20,India,0,3,20,KM Jadhav,"['TJ Matibiri', 'RB Tiffin']",male,India,Zimbabwe,6,138
7,T20/1019979.yaml,New Zealand,Bangladesh,McLean Park,Napier,2017-01-03,Bangladesh,bat,T20,New Zealand,6,0,20,KS Williamson,"['SB Haig', 'WR Knights']",male,Bangladesh,New Zealand,7,141
8,T20/1019981.yaml,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,2017-01-06,Bangladesh,field,T20,New Zealand,0,47,20,C Munro,"['CM Brown', 'SB Haig']",male,New Zealand,Bangladesh,8,195
9,T20/1019983.yaml,New Zealand,Bangladesh,Bay Oval,Mount Maunganui,2017-01-08,Bangladesh,field,T20,New Zealand,0,27,20,CJ Anderson,"['CM Brown', 'WR Knights']",male,New Zealand,Bangladesh,9,194
10,T20/1020029.yaml,New Zealand,South Africa,Eden Park,Auckland,2017-02-17,New Zealand,field,T20,South Africa,0,78,20,Imran Tahir,"['CM Brown', 'WR Knights']",male,South Africa,New Zealand,10,185
11,T20/1031431.yaml,England,South Africa,The Rose Bowl,Southampton,2017-06-21,South Africa,bat,T20,England,9,0,20,JM Bairstow,"['RJ Bailey', 'RT Robinson']",male,South Africa,England,11,142
12,T20/1031433.yaml,England,South Africa,County Ground,Taunton,2017-06-23,England,field,T20,South Africa,0,3,20,CH Morris,"['RJ Bailey', 'MA Gough']",male,South Africa,England,12,174
13,T20/1031435.yaml,England,South Africa,Sophia Gardens,Cardiff,2017-06-25,South Africa,field,T20,England,0,19,20,DJ Malan,"['MA Gough', 'RT Robinson']",male,England,South Africa,13,181
14,T20/1034825.yaml,India,England,Green Park,Kanpur,2017-01-26,England,field,T20,England,7,0,20,MM Ali,"['AK Chaudhary', 'Nitin Menon']",male,India,England,14,147
15,T20/1034827.yaml,India,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,2017-01-29,England,field,T20,India,0,5,20,JJ Bumrah,"['AK Chaudhary', 'C Shamshuddin']",male,India,England,15,144
16,T20/1034829.yaml,India,England,M Chinnaswamy Stadium,Bangalore,2017-02-01,England,field,T20,India,0,75,20,YS Chahal,"['AK Chaudhary', 'Nitin Menon']",male,India,England,16,202
17,T20/1040485.yaml,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Greater Noida,2017-03-08,Ireland,bat,T20,Afghanistan,6,0,20,Samiullah Shenwari,"['Ahmed Shah Durrani', 'Ahmed Shah Pakteen']",male,Ireland,Afghanistan,17,165
18,T20/1040487.yaml,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Greater Noida,2017-03-10,Afghanistan,bat,T20,D/L,0,17,20,Najeeb Tarakai,"['Ahmed Shah Durrani', 'Ahmed Shah Pakteen']",male,Afghanistan,Ireland,18,184
19,T20/1040489.yaml,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Greater Noida,2017-03-12,Ireland,field,T20,Afghanistan,0,28,20,Mohammad Nabi,"['Ahmed Shah Durrani', 'Ahmed Shah Pakteen']",male,Afghanistan,Ireland,19,233
